"자전거보관소명",소재지도로명주소,소재지지번주소,위도,경도,보관대수,설치년도,설치형태,차양막설치여부,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자
"영서중학교",서울특별시 구로구 도림로20길 35,,37.4891567,126.8944348,49,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"영림중학교",서울특별시 구로구 가마산로27길 17,,37.4979679,126.8904319,112,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"오남중학교",서울특별시 구로구 오리로9길 25,,37.4871518,126.8369499,50,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"오류중학교",서울특별시 구로구 고척로27바길 19,,37.5075732,126.8466133,20,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"우신중학교",서울특별시 구로구 부일로 917,,37.4953588,126.8266507,50,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"성베드로학교",서울특별시 구로구 연동로 320,,37.4866376,126.8257339,50,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"정진학교",서울특별시 구로구 부일로9길 158,,37.4978279,126.8226452,21,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"구일고등학교",서울특별시 구로구 구일로 90-51,,37.4942681,126.8739586,90,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"경인고등학교",서울특별시 구로구 경인로46길 31,,37.4967754,126.8656896,150,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"구현고등학교",서울특별시 구로구 경인로53가길 17,,37.502400,126.874000,136,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"서울공연예술고",서울특별시 구로구 오리로22나길 16-26,,37.5001131,126.832213,20,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"경인중학교",서울특별시 구로구 경인로 301,,37.4982089,126.8546729,50,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"서서울생활과학고",서울특별시 구로구 오리로 1355-10,,37.5038037,126.828103,40,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"성공회대학교",서울특별시 구로구 연동로 320,,37.4866376,126.8257339,40,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"신도림고등학교",서울특별시 구로구 경인로67길 159,,37.5140903,126.8821139,90,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"구로여자정보고",서울특별시 구로구 오리로21길 2,,37.5000349,126.8274255,20,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"덕일전자공업고",서울특별시 구로구 서해안로21길 5-12,,37.4905347,126.8370373,40,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"신미림초등학교",서울특별시 구로구 신도림로 26,,37.5067665,126.8797202,10,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"유한공업고등학교",서울특별시 구로구 경인로 8,,37.4881794,126.8224619,40,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"개웅중학교",서울특별시 구로구 개봉로11길 81,,37.4874937,126.8510735,47,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"고척중학교",서울특별시 구로구 중앙로3길 20,,37.5003254,126.8621596,60,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"고척고등학교",서울특별시 구로구 중앙로15길 162,,37.508647,126.8507893,50,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"동양미래대학교",서울특별시 구로구 경인로 445,,37.5009475,126.8675318,70,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"한영신학대",서울특별시 구로구 경인로 290-42,,37.4966184,126.8517168,10,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"고척근린공원",서울특별시 구로구 고척로45길 39,,37.5066167,126.8533046,21,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"미래사랑어린이공원",서울특별시 구로구 경인로 661,,37.509449,126.8877687,168,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"구일소공원",서울특별시 구로구 구일로 90-51,,37.4942681,126.8739586,20,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"구로리공원",서울특별시 구로구 구로중앙로 13,,37.4908437,126.891605,10,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"고척근린시장",서울특별시 구로구 경인로33길 98-3,,37.5023896,126.8506638,5,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
